attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,loss
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,1,0.8184159698379736
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,2,0.7891381806350953
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,3,0.7577238115143488
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,4,0.7408695939877882
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,5,0.7309725269280417
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,6,0.7227149974360354
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,7,0.7148280210292868
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,8,0.7065369495089054
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,9,0.6986322923490783
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,10,0.6882773288868174
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,11,0.6794864441541248
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,12,0.6727493062636967
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,13,0.663990198882063
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,14,0.656958140968296
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,15,0.650703246605669
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,16,0.6434247988912473
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,17,0.6349785041852478
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,18,0.6293037870403443
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,19,0.6184698504278313
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,20,0.6137469699208946
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,21,0.6064654943287467
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,22,0.601826616097164
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,23,0.595197519645295
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,24,0.5886668774754271
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,25,0.580009612297416
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,26,0.5751675289682728
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,27,0.5686332272904865
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,28,0.5597409202892102
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,29,0.5545565180875315
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,30,0.549419383989242
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,31,0.544807230774405
