attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,loss
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,1,0.8186893934445609
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,2,0.7983758599557674
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,3,0.7983881396432349
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,4,0.7986521101098693
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,5,0.7987865880482814
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,6,0.7987662606781891
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,7,0.7991853469507947
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,8,0.798652251399889
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,9,0.798647630967715
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,10,0.798736060819359
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,11,0.7988392535383092
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,12,0.798727310914372
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,13,0.7984271241541195
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,14,0.7983461335025263
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,15,0.7990423343665648
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,16,0.7986699925259668
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,17,0.7980808121306293
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,18,0.7984870911784282
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,19,0.798504175588293
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,20,0.7981251398946163
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,21,0.7976765185333967
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,22,0.7985362254238189
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,23,0.7982889959262556
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,24,0.797973302847998
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,25,0.7985206324966054
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,26,0.7989266711018951
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,27,0.7990599320483297
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,28,0.7984488081374322
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,29,0.7981058667495492
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,30,0.7986172946494269
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,31,0.7982808081438302
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,32,0.7982053740249633
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,33,0.7981582900589533
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,34,0.7992270578428122
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,35,0.7977281763546676
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,36,0.7977729618834156
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,37,0.7982854507494545
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,38,0.798075809659976
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,39,0.797974425902488
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,40,0.7983667565807168
