attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,0,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,40.6461640945931,0.80272512954131
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,0,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,40.6461640945931,0.80272512954131
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,0,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,40.6461640945931,0.80272512954131
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,0,3,7322,0,2673,0,1,0.7325662831415708,0,0.8456430097591962,0.7325662831415708,40.6461640945931,0.80272512954131
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,1,0,11,9231,22,731,0.014824797843665768,0.3333333333333333,0.9976223927374905,0.02838709677419355,0.9246623311655828,42.17275452425891,0.7434334491111223
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,1,1,0,9832,0,163,0.0,,1.0,0.0,0.9836918459229614,42.17275452425891,0.7434334491111223
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,1,2,70,8164,63,1698,0.03959276018099547,0.5263157894736842,0.9923422875896438,0.07364544976328248,0.8238119059529765,42.17275452425891,0.7434334491111223
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,1,3,7255,99,2574,67,0.9908494946735864,0.7381218842201648,0.037037037037037035,0.8460148096320914,0.735767883941971,42.17275452425891,0.7434334491111223
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,2,0,2,9252,1,740,0.0026954177897574125,0.6666666666666666,0.9998919269426132,0.005369127516778523,0.9258629314657328,43.7548573331853,0.7177454186241058
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,2,1,0,9830,2,163,0.0,0.0,0.9997965825874695,0.0,0.9834917458729364,43.7548573331853,0.7177454186241058
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,2,2,157,8108,119,1611,0.08880090497737557,0.5688405797101449,0.9855354321137717,0.15362035225048923,0.8269134567283641,43.7548573331853,0.7177454186241058
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,2,3,7223,182,2491,99,0.9864791040699262,0.7435659872349186,0.06808829031051253,0.8479690068091101,0.7408704352176088,43.7548573331853,0.7177454186241058
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,3,0,2,9252,1,740,0.0026954177897574125,0.6666666666666666,0.9998919269426132,0.005369127516778523,0.9258629314657328,46.28622182746753,0.6969704730286964
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,3,1,11,9822,10,152,0.06748466257668712,0.5238095238095238,0.9989829129373474,0.11956521739130435,0.983791895947974,46.28622182746753,0.6969704730286964
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,3,2,284,7962,265,1484,0.16063348416289594,0.517304189435337,0.967788987480248,0.24514458351316357,0.8250125062531266,46.28622182746753,0.6969704730286964
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,3,3,7098,349,2324,224,0.9694072657743786,0.7533432392273403,0.1305649083426861,0.8478260869565217,0.7450725362681341,46.28622182746753,0.6969704730286964
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,4,0,27,9229,24,715,0.03638814016172507,0.5294117647058824,0.9974062466227169,0.06809583858764187,0.9260630315157579,50.8493394026868,0.6815835213464763
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,4,1,20,9811,21,143,0.12269938650306748,0.4878048780487805,0.9978641171684296,0.19607843137254902,0.983591795897949,50.8493394026868,0.6815835213464763
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,4,2,492,7752,475,1276,0.27828054298642535,0.5087900723888314,0.9422632794457275,0.3597806215722121,0.8248124062031016,50.8493394026868,0.6815835213464763
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,4,3,6903,640,2033,419,0.9427751980333242,0.7724932855863921,0.23943135054246165,0.8491819411981794,0.7546773386693346,50.8493394026868,0.6815835213464763
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,5,0,25,9230,23,717,0.03369272237196765,0.5208333333333334,0.9975143196801037,0.06329113924050633,0.9259629814907454,46.53602753414011,0.6649290981655547
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,5,1,14,9823,9,149,0.08588957055214724,0.6086956521739131,0.9990846216436127,0.15053763440860216,0.984192096048024,46.53602753414011,0.6649290981655547
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,5,2,250,8052,175,1518,0.1414027149321267,0.5882352941176471,0.9787285766378996,0.22799817601459188,0.830615307653827,46.53602753414011,0.6649290981655547
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,5,3,7171,345,2328,151,0.9793772193389784,0.7549215706916518,0.12906846240179573,0.8526246953213246,0.751975987993997,46.53602753414011,0.6649290981655547
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,6,0,50,9199,54,692,0.0673854447439353,0.4807692307692308,0.9941640549011131,0.1182033096926714,0.9253626813406703,51.709781281225716,0.6523263852718979
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,6,1,17,9814,18,146,0.10429447852760736,0.4857142857142857,0.9981692432872253,0.1717171717171717,0.983591795897949,51.709781281225716,0.6523263852718979
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,6,2,489,7788,439,1279,0.27658371040723984,0.5269396551724138,0.9466391151087882,0.36275964391691395,0.8281140570285143,51.709781281225716,0.6523263852718979
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,6,3,6951,696,1977,371,0.9493307839388145,0.7785618279569892,0.26038159371492703,0.8555076923076923,0.7650825412706354,51.709781281225716,0.6523263852718979
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,7,0,31,9221,32,711,0.04177897574123989,0.49206349206349204,0.9965416621636226,0.07701863354037267,0.9256628314157078,52.02065060508493,0.6431159821035931
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,7,1,12,9821,11,151,0.0736196319018405,0.5217391304347826,0.9988812042310822,0.12903225806451613,0.983791895947974,52.02065060508493,0.6431159821035931
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,7,2,511,7849,378,1257,0.28902714932126694,0.5748031496062992,0.9540537255378632,0.38464433571697404,0.8364182091045522,52.02065060508493,0.6431159821035931
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,7,3,7028,681,1992,294,0.9598470363288719,0.7791574279379158,0.2547699214365881,0.8601150409986538,0.7712856428214107,52.02065060508493,0.6431159821035931
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,8,0,48,9203,50,694,0.0646900269541779,0.4897959183673469,0.9945963471306604,0.11428571428571428,0.9255627813906954,53.44731875208171,0.6297497178998257
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,8,1,17,9821,11,146,0.10429447852760736,0.6071428571428571,0.9988812042310822,0.17801047120418848,0.9842921460730365,53.44731875208171,0.6297497178998257
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,8,2,568,7786,441,1200,0.3212669683257919,0.5629335976214074,0.946396013127507,0.409074540871444,0.8358179089544773,53.44731875208171,0.6297497178998257
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,8,3,6958,771,1902,364,0.9502868068833652,0.7853273137697517,0.2884399551066218,0.8599678655296008,0.7732866433216609,53.44731875208171,0.6297497178998257
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,9,0,42,9221,32,700,0.05660377358490566,0.5675675675675675,0.9965416621636226,0.10294117647058823,0.9267633816908454,48.850893749306096,0.6168011458102833
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,9,1,17,9826,6,146,0.10429447852760736,0.7391304347826086,0.9993897477624084,0.1827956989247312,0.984792396198099,48.850893749306096,0.6168011458102833
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,9,2,323,8031,196,1445,0.18269230769230768,0.6223506743737958,0.9761760058344475,0.2824661128115435,0.8358179089544773,48.850893749306096,0.6168011458102833
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,9,3,7180,474,2199,142,0.9806063916962579,0.7655400362511995,0.17732884399551066,0.8598287527692953,0.7657828914457229,48.850893749306096,0.6168011458102833
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,10,0,29,9237,16,713,0.03908355795148248,0.6444444444444445,0.9982708310818112,0.07369758576874205,0.927063531765883,54.32996558232486,0.6093128276999298
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,10,1,7,9825,7,156,0.04294478527607362,0.5,0.9992880390561432,0.07909604519774012,0.9836918459229614,54.32996558232486,0.6093128276999298
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,45,1,39977,Variable,1193516,final_test,10,2,640,7647,580,1128,0.36199095022624433,0.5245901639344263,0.9295004254284672,0.428380187416332,0.8291145572786394,54.32996558232486,0.6093128276999298
