attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,0,0,0,9268,0,726,0,,1,0.0,0.927356413848309,40.9025069637883,0.8177853401090147
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,0,1,0,9822,0,172,0,,1,0.0,0.9827896738042826,40.9025069637883,0.8177853401090147
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,0,2,0,8240,0,1754,0,,1,0.0,0.8244946968180908,40.9025069637883,0.8177853401090147
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,0,3,7342,0,2652,0,1,0.7346407844706824,0,0.8470235348407937,0.7346407844706824,40.9025069637883,0.8177853401090147
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,1,0,0,9268,0,726,0.0,,1.0,0.0,0.927356413848309,41.259052924791085,0.7665891684302324
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,1,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,41.259052924791085,0.7665891684302324
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,1,2,16,8238,2,1738,0.009122006841505131,0.8888888888888888,0.999757281553398,0.01805869074492099,0.8258955373223934,41.259052924791085,0.7665891684302324
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,1,3,7341,17,2635,1,0.9998637973304276,0.7358660785886126,0.00641025641025641,0.8477884282249682,0.7362417450470282,41.259052924791085,0.7665891684302324
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,2,0,0,9268,0,726,0.0,,1.0,0.0,0.927356413848309,43.860724233983284,0.7463742892494609
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,2,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,43.860724233983284,0.7463742892494609
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,2,2,157,8097,143,1597,0.0895096921322691,0.5233333333333333,0.9826456310679612,0.1528724440116845,0.8258955373223934,43.860724233983284,0.7463742892494609
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,2,3,7222,180,2472,120,0.9836556796513212,0.7449969053022488,0.06787330316742081,0.8478516083587697,0.7406443866319792,43.860724233983284,0.7463742892494609
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,3,0,1,9268,0,725,0.0013774104683195593,1.0,1.0,0.002751031636863824,0.9274564738843306,46.22284122562674,0.7294026321136287
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,3,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,46.22284122562674,0.7294026321136287
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,3,2,289,7911,329,1465,0.16476624857468644,0.46763754045307443,0.9600728155339806,0.2436762225969646,0.8204922953772263,46.22284122562674,0.7294026321136287
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,3,3,7075,352,2300,267,0.9636338872241896,0.7546666666666667,0.13273001508295626,0.8464437399054854,0.7431458875325195,46.22284122562674,0.7294026321136287
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,4,0,6,9266,2,720,0.008264462809917356,0.75,0.9997842037116962,0.01634877384196185,0.9277566539923955,45.949860724233986,0.7166846006774494
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,4,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,45.949860724233986,0.7166846006774494
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,4,2,241,8042,198,1513,0.13740022805017105,0.5489749430523918,0.9759708737864078,0.21979024167806657,0.8287972783670202,45.949860724233986,0.7166846006774494
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,4,3,7201,306,2346,141,0.9807954235903024,0.7542683565517964,0.11538461538461539,0.8527443898395405,0.7511506904142485,45.949860724233986,0.7166846006774494
15,300,128,False,0.8,50,42,0.6,100,0.005,,bow,4,50,2,29983,Variable,1193516,layers,5,0,20,9218,50,706,0.027548209366391185,0.2857142857142857,0.9946050927924039,0.05025125628140704,0.9243546127676606,45.626740947075206,0.7045010288390618
