attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,0,0,0,9268,0,726,0,,1,0.0,0.927356413848309,40.9025069637883,0.8184159698379729
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,0,1,0,9822,0,172,0,,1,0.0,0.9827896738042826,40.9025069637883,0.8184159698379729
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,0,2,0,8240,0,1754,0,,1,0.0,0.8244946968180908,40.9025069637883,0.8184159698379729
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,0,3,7342,0,2652,0,1,0.7346407844706824,0,0.8470235348407937,0.7346407844706824,40.9025069637883,0.8184159698379729
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,1,0,0,9268,0,726,0.0,,1.0,0.0,0.927356413848309,40.930362116991645,0.789138180635095
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,1,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,40.930362116991645,0.789138180635095
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,1,2,1,8239,1,1753,0.0005701254275940707,0.5,0.9998786407766991,0.0011389521640091116,0.8244946968180908,40.930362116991645,0.789138180635095
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,1,3,7342,2,2650,0,1.0,0.7347878302642114,0.0007541478129713424,0.8471212645667474,0.7348409045427257,40.930362116991645,0.789138180635095
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,2,0,0,9268,0,726,0.0,,1.0,0.0,0.927356413848309,41.04735376044568,0.7577238115143493
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,2,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,41.04735376044568,0.7577238115143493
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,2,2,9,8230,10,1745,0.005131128848346636,0.47368421052631576,0.9987864077669902,0.01015228426395939,0.8243946367820693,41.04735376044568,0.7577238115143493
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,2,3,7332,9,2643,10,0.9986379733042767,0.7350375939849624,0.003393665158371041,0.8467979442166657,0.7345407244346608,41.04735376044568,0.7577238115143493
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,3,0,0,9268,0,726,0.0,,1.0,0.0,0.927356413848309,41.07520891364903,0.7408695939877885
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,3,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,41.07520891364903,0.7408695939877885
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,3,2,9,8235,5,1745,0.005131128848346636,0.6428571428571429,0.9993932038834952,0.010180995475113122,0.8248949369621773,41.07520891364903,0.7408695939877885
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,3,3,7337,9,2643,5,0.9993189866521384,0.7351703406813628,0.003393665158371041,0.8471308163029673,0.7350410246147688,41.07520891364903,0.7408695939877885
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,4,0,0,9268,0,726,0.0,,1.0,0.0,0.927356413848309,41.1142061281337,0.7309725269280425
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,4,1,0,9822,0,172,0.0,,1.0,0.0,0.9827896738042826,41.1142061281337,0.7309725269280425
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,4,2,12,8228,12,1742,0.0068415051311288486,0.5,0.9985436893203884,0.013498312710911136,0.8244946968180908,41.1142061281337,0.7309725269280425
15,300,64,False,0.8,50,42,0.6,100,0.001,,bow,4,50,4,29983,Variable,1193516,layers,4,3,7331,13,2639,11,0.9985017706347045,0.7353059177532598,0.004901960784313725,0.8469269870609981,0.7348409045427257,41.1142061281337,0.7309725269280425
