attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,0,0,0,9253,0,742,0.0,,1.0,0.0,0.9257628814407204,44.13234151215721,0.7955516969169549
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,0,1,0,9832,0,163,0.0,,1.0,0.0,0.9836918459229614,44.13234151215721,0.7955516969169549
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,0,2,205,7965,262,1563,0.1159502262443439,0.43897216274089934,0.9681536404521697,0.18344519015659955,0.817408704352176,44.13234151215721,0.7955516969169549
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,0,3,7095,240,2433,227,0.9689975416552854,0.7446473551637279,0.08978675645342311,0.8421364985163204,0.7338669334667334,44.13234151215721,0.7955516969169549
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,1,0,3,9252,1,739,0.004043126684636119,0.75,0.9998919269426132,0.00804289544235925,0.9259629814907454,46.02531364494282,0.7374664528261573
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,1,1,0,9832,0,163,0.0,,1.0,0.0,0.9836918459229614,46.02531364494282,0.7374664528261573
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,1,2,277,8005,222,1491,0.15667420814479638,0.5551102204408818,0.9730156800777926,0.24437582708425232,0.8286143071535768,46.02531364494282,0.7374664528261573
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,1,3,7135,316,2357,187,0.9744605299098607,0.7516856300042141,0.11821922933034044,0.8486975139764482,0.7454727363681841,46.02531364494282,0.7374664528261573
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,2,0,0,9253,0,742,0.0,,1.0,0.0,0.9257628814407204,42.41145775507938,0.7162593692228965
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,2,1,0,9832,0,163,0.0,,1.0,0.0,0.9836918459229614,42.41145775507938,0.7162593692228965
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,2,2,85,8173,54,1683,0.04807692307692308,0.6115107913669064,0.9934362465054091,0.08914525432616675,0.8262131065532766,42.41145775507938,0.7162593692228965
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,2,3,7284,101,2572,38,0.9948101611581535,0.7390422077922078,0.03778526000748223,0.8480614739783444,0.7388694347173587,42.41145775507938,0.7162593692228965
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,3,0,5,9250,3,737,0.006738544474393531,0.625,0.9996757808278396,0.013333333333333334,0.9259629814907454,47.357610747196624,0.7020948122993436
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,3,1,7,9826,6,156,0.04294478527607362,0.5384615384615384,0.9993897477624084,0.07954545454545454,0.983791895947974,47.357610747196624,0.7020948122993436
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,3,2,320,7979,248,1448,0.18099547511312217,0.5633802816901409,0.9698553543211377,0.273972602739726,0.8303151575787894,47.357610747196624,0.7020948122993436
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,3,3,7134,401,2272,188,0.9743239552034964,0.7584520518817776,0.15001870557426114,0.8529411764705882,0.7538769384692346,47.357610747196624,0.7020948122993436
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,4,0,15,9229,24,727,0.02021563342318059,0.38461538461538464,0.9974062466227169,0.03841229193341869,0.9248624312156078,48.55667813922505,0.6746353657900493
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,4,1,8,9821,11,155,0.049079754601226995,0.42105263157894735,0.9988812042310822,0.08791208791208792,0.983391695847924,48.55667813922505,0.6746353657900493
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,4,2,379,7917,310,1389,0.21436651583710406,0.5500725689404935,0.9623191929014221,0.3085063085063085,0.8300150075037519,48.55667813922505,0.6746353657900493
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,4,3,7058,483,2190,264,0.9639442775198034,0.7631920415224913,0.18069584736251404,0.851901025950513,0.7544772386193097,48.55667813922505,0.6746353657900493
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,5,0,16,9225,28,726,0.0215633423180593,0.36363636363636365,0.9969739543931698,0.04071246819338423,0.9245622811405703,49.08404574220051,0.6584226368691797
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,5,1,11,9821,11,152,0.06748466257668712,0.5,0.9988812042310822,0.11891891891891893,0.9836918459229614,49.08404574220051,0.6584226368691797
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,5,2,381,7966,261,1387,0.2154977375565611,0.5934579439252337,0.9682751914428103,0.31618257261410787,0.8351175587793896,49.08404574220051,0.6584226368691797
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,5,3,7116,502,2171,206,0.9718656104889375,0.7662323678259934,0.18780396558174337,0.8568848214823288,0.7621810905452726,49.08404574220051,0.6584226368691797
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,6,0,63,9150,103,679,0.08490566037735849,0.3795180722891566,0.9888684750891603,0.13876651982378854,0.9217608804402201,54.113467303208616,0.6478306300080415
15,600,128,False,0.8,50,42,0.6,100,0.005,,bow,4,40,1,39977,Variable,1193516,final_test,6,1,12,9821,11,151,0.0736196319018405,0.5217391304347826,0.9988812042310822,0.12903225806451613,0.983791895947974,54.113467303208616,0.6478306300080415
