attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,loss
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,1,1.1569225071382316
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,2,1.1349134223115651
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,3,1.1319701815525578
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,4,1.1274856602958132
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,5,1.1243205175585602
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,6,1.1213545267548575
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,7,1.1174883038136962
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,8,1.1180799212952235
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,9,1.1123495889526869
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,10,1.1085797385786191
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,11,1.1061040808916691
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,12,1.096946202772528
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,13,1.0895693567680669
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,14,1.0809884417013225
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,15,1.072547425844806
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,16,1.0656570998049626
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,17,1.0523421436446734
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,18,1.0384975337540492
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,19,1.021783653902747
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,20,1.0089094285157898
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,21,0.9942206764479756
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,22,0.9656378489824089
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,23,0.9460111581524496
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,24,0.9254839259879709
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,25,0.9138473388373661
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,26,0.8796059015727447
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,27,0.8538044792181901
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,28,0.8295302736440965
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,29,0.8098808402918376
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,30,0.7862328396604765
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,31,0.7674057455976457
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,32,0.748437739806199
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,33,0.7292532191266025
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,34,0.704512413787204
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,35,0.687381480199206
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,36,0.6623408105308175
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,37,0.6579829253952086
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,38,0.6396658336965045
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,39,0.6294977091523898
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,40,0.5983267260051027
