attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,loss
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,1,1.1589415443516284
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,2,1.1552228276627854
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,3,1.1524976299476217
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,4,1.1514246203178606
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,5,1.151704686960568
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,6,1.151883815894687
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,7,1.1506793327974048
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,8,1.149973688326654
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,9,1.1509641566115045
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,10,1.1508757971195611
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,11,1.1514890907816075
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,12,1.1511431459791397
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,13,1.1512216319565132
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,14,1.1511811035019366
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,15,1.1513140844861227
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,16,1.1508587117268834
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,17,1.151027964823564
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,18,1.1506746126456155
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,19,1.1507045898420387
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,20,1.1507843856492848
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,21,1.1505118948397501
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,22,1.1509061633692073
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,23,1.151104209032843
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,24,1.1507512461107194
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,25,1.1532398391521232
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,26,1.1541150439748569
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,27,1.1509227252434313
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,28,1.1537686165221803
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,29,1.155691580487636
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,30,1.1482492414601622
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,31,1.1453687191809778
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,32,1.1420509260090528
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,33,1.138009378506859
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,34,1.1345720833991204
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,35,1.1330691310952599
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,36,1.1319947571202849
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,37,1.1283017831213769
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,38,1.123840829853174
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,39,1.1244416177432883
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,40,1.1213328634606226
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,41,1.119802302373699
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,42,1.119131175960554
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,43,1.1158869673890892
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,44,1.11947395878671
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,45,1.1226563997621417
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,46,1.1196329284136455
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,47,1.1302225921020927
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,48,1.1265048408620046
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,49,1.1228933807145576
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,50,1.1126797295630007
