attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,0,0,0,3776,0,736,0.0,,1.0,0.0,0.8368794326241135,27.217487373737374,1.1569225071382316
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,0,1,1,4336,11,164,0.006060606060606061,0.08333333333333333,0.9974695192086497,0.011299435028248588,0.9612145390070922,27.217487373737374,1.1569225071382316
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,0,2,467,2205,488,1352,0.2567344694887301,0.48900523560209425,0.8187894541403639,0.33669790915645276,0.5921985815602837,27.217487373737374,1.1569225071382316
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,0,3,1435,610,2110,357,0.80078125,0.40479548660084624,0.22426470588235295,0.5377552932359003,0.4532358156028369,27.217487373737374,1.1569225071382316
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,1,0,0,3776,0,736,0.0,,1.0,0.0,0.8368794326241135,29.324494949494948,1.134913422311565
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,1,1,0,4347,0,165,0.0,,1.0,0.0,0.9634308510638298,29.324494949494948,1.134913422311565
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,1,2,530,2205,488,1289,0.291368884002199,0.5206286836935167,0.8187894541403639,0.3736341205498766,0.6061613475177305,29.324494949494948,1.134913422311565
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,1,3,1450,676,2044,342,0.8091517857142857,0.41499713795077275,0.2485294117647059,0.5486189935679152,0.47118794326241137,29.324494949494948,1.134913422311565
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,2,0,0,3776,0,736,0.0,,1.0,0.0,0.8368794326241135,39.1729797979798,1.131970181552558
15,,128,True,0.8,50,,0.6,100,0.001,75,,4,40,2,13537,Variable,1193516,,2,1,0,4347,0,165,0.0,,1.0,0.0,0.9634308510638298,39.1729797979798,1.131970181552558
