attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,0,0,0,3779,0,735,0.0,,1.0,0.0,0.8371732388125831,22.36393884179672,1.1589415443516287
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,0,1,0,4344,0,170,0.0,,1.0,0.0,0.9623393885688968,22.36393884179672,1.1589415443516287
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,0,2,276,2480,236,1522,0.15350389321468297,0.5390625,0.9131075110456554,0.23896103896103896,0.6105449712007089,22.36393884179672,1.1589415443516287
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,0,3,1647,348,2355,164,0.90944229707344,0.411544227886057,0.12874583795782463,0.5666609323929125,0.4419583517944174,22.36393884179672,1.1589415443516287
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,1,0,0,3779,0,735,0,,1,0.0,0.8371732388125831,14.346827220153688,1.155222827662786
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,1,1,0,4344,0,170,0,,1,0.0,0.9623393885688968,14.346827220153688,1.155222827662786
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,1,2,0,2716,0,1798,0,,1,0.0,0.6016836508639787,14.346827220153688,1.155222827662786
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,1,3,1811,0,2703,0,1,0.40119627824545856,0,0.5726482213438735,0.40119627824545856,14.346827220153688,1.155222827662786
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,2,0,0,3779,0,735,0,,1,0.0,0.8371732388125831,14.346827220153688,1.1524976299476217
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,2,1,0,4344,0,170,0,,1,0.0,0.9623393885688968,14.346827220153688,1.1524976299476217
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,2,2,0,2716,0,1798,0,,1,0.0,0.6016836508639787,14.346827220153688,1.1524976299476217
15,,64,True,0.8,50,,0.6,100,0.001,75,lstm_basic,4,50,4,18049,Variable,1193516,downsample,2,3,1811,0,2703,0,1,0.40119627824545856,0,0.5726482213438735,0.40119627824545856,14.346827220153688,1.1524976299476217
