attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,0,0,9266,0,729,0,,1,0.0,0.927063531765883,40.18093556928508,0.804484463784405
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,40.18093556928508,0.804484463784405
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,40.18093556928508,0.804484463784405
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,3,7284,0,2711,0,1,0.7287643821910955,0,0.8431043463163378,0.7287643821910955,40.18093556928508,0.804484463784405
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,0,0,9266,0,729,0,,1,0.0,0.927063531765883,40.18093556928508,0.7853079112975093
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,40.18093556928508,0.7853079112975093
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,40.18093556928508,0.7853079112975093
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,3,7284,0,2711,0,1,0.7287643821910955,0,0.8431043463163378,0.7287643821910955,40.18093556928508,0.7853079112975093
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,0,0,9266,0,729,0,,1,0.0,0.927063531765883,40.18093556928508,0.7810086106328112
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,40.18093556928508,0.7810086106328112
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,40.18093556928508,0.7810086106328112
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,3,7284,0,2711,0,1,0.7287643821910955,0,0.8431043463163378,0.7287643821910955,40.18093556928508,0.7810086106328112
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,3,0,0,9266,0,729,0,,1,0.0,0.927063531765883,40.18093556928508,0.7748227626919846
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,3,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,40.18093556928508,0.7748227626919846
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,3,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,40.18093556928508,0.7748227626919846
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,3,3,7284,0,2711,0,1,0.7287643821910955,0,0.8431043463163378,0.7287643821910955,40.18093556928508,0.7748227626919846
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,4,0,0,9266,0,729,0.0,,1.0,0.0,0.927063531765883,40.26368049426302,0.7692339165920092
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,4,1,0,9821,0,174,0.0,,1.0,0.0,0.9825912956478239,40.26368049426302,0.7692339165920092
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,4,2,4,8184,3,1804,0.0022123893805309734,0.5714285714285714,0.9996335654085746,0.004407713498622589,0.8192096048024012,40.26368049426302,0.7692339165920092
