attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,0,0,58,3678,98,678,0.07880434782608696,0.3717948717948718,0.9740466101694916,0.13004484304932734,0.8280141843971631,17.108585858585858,1.1579451412332693
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,0,1,0,4347,0,165,0.0,,1.0,0.0,0.9634308510638298,17.108585858585858,1.1579451412332693
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,0,2,51,2659,34,1768,0.028037383177570093,0.6,0.9873746750835499,0.05357142857142857,0.6006205673758865,17.108585858585858,1.1579451412332693
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,0,3,1696,145,2575,96,0.9464285714285714,0.3970966986654179,0.05330882352941176,0.5594590136895926,0.40802304964539005,17.108585858585858,1.1579451412332693
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,1,0,33,3736,40,703,0.04483695652173913,0.4520547945205479,0.989406779661017,0.0815822002472188,0.8353280141843972,20.067866161616163,1.1360782958841138
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,1,1,0,4347,0,165,0.0,,1.0,0.0,0.9634308510638298,20.067866161616163,1.1360782958841138
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,1,2,182,2546,147,1637,0.1000549752611325,0.5531914893617021,0.9454140363906424,0.16945996275605213,0.6046099290780141,20.067866161616163,1.1360782958841138
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,1,3,1644,254,2466,148,0.9174107142857143,0.4,0.09338235294117647,0.5570992883768214,0.42065602836879434,20.067866161616163,1.1360782958841138
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,2,0,21,3750,26,715,0.028532608695652172,0.44680851063829785,0.993114406779661,0.05363984674329502,0.8357712765957447,43.134469696969695,1.1262212651063614
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,2,1,0,4347,0,165,0.0,,1.0,0.0,0.9634308510638298,43.134469696969695,1.1262212651063614
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,2,2,1009,1785,908,810,0.5547003848268279,0.5263432446531038,0.6628295581136279,0.5401498929336188,0.6192375886524822,43.134469696969695,1.1262212651063614
15,300,64,True,0.8,50,,0.6,100,0.001,150,,4,50,4,13537,Variable,1193516,,2,3,1102,1274,1446,690,0.6149553571428571,0.4324960753532182,0.46838235294117647,0.5078341013824885,0.526595744680851,43.134469696969695,1.1262212651063614
