attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,0,0,9266,0,729,0,,1,0.0,0.927063531765883,0.4018093556928508,0.8082614374849646
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,0.4018093556928508,0.8082614374849646
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,0.4018093556928508,0.8082614374849646
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,0,3,7284,0,2711,0,1,0.7287643821910955,0,0.8431043463163378,0.7287643821910955,0.4018093556928508,0.8082614374849646
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,0,0,9266,0,729,0,,1,0.0,0.927063531765883,0.4018093556928508,0.7985087369322784
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,0.4018093556928508,0.7985087369322784
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,0.4018093556928508,0.7985087369322784
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,1,3,7284,0,2711,0,1,0.7287643821910955,0,0.8431043463163378,0.7287643821910955,0.4018093556928508,0.7985087369322784
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,0,0,9266,0,729,0,,1,0.0,0.927063531765883,0.4018093556928508,0.7986151807950513
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,1,0,9821,0,174,0,,1,0.0,0.9825912956478239,0.4018093556928508,0.7986151807950513
15,,128,False,0.8,50,,0.6,100,0.001,75,lstm_attention,4,40,2,39977,Variable,1193516,final_test,2,2,0,8187,0,1808,0,,1,0.0,0.8191095547773887,0.4018093556928508,0.7986151807950513
