attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,loss
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,1,0.8048321201562896
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,2,0.7857845307173529
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,3,0.7620770885850353
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,4,0.7303724840919801
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,5,0.7054665283580408
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,6,0.6866150739249727
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,7,0.6721943634560281
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,8,0.6533817598535552
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,9,0.6379334223039241
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,10,0.6184451144612887
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,11,0.6007184394979188
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,12,0.5864664195754767
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,13,0.5661088536196245
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,14,0.5483252908458593
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,15,0.5324715056329261
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,16,0.5187736095456674
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,17,0.5071661329856617
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,18,0.5002587354088901
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,19,0.4856879062273236
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,20,0.4741095823910872
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,21,0.4684919465575572
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,22,0.45871493822541365
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,23,0.45262677368727544
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,24,0.4510080855272549
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,25,0.43521780197120224
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,26,0.4291190408270349
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,27,0.4240506899643824
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,28,0.41759876874061336
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,29,0.4110306707133062
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,30,0.4108217308734537
15,300,64,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,50,4,29983,Variable,1193516,layers,31,0.3958062695633118
