attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,0,1,9241,12,741,0.001347709,0.076923077,0.998703123,0.002649007,0.924662331,40.64061286,0.81604414
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,1,0,9827,5,163,0,0,0.999491456,0,0.983191596,40.64061286,0.81604414
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,2,0,8227,0,1768,0,,1,0,0.823111556,40.64061286,0.81604414
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,3,7311,7,2666,11,0.998497678,0.732785406,0.00261878,0.845251171,0.732166083,40.64061286,0.81604414
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,0,2,9251,2,740,0.002695418,0.5,0.999783854,0.00536193,0.925762881,40.67947152,0.793894977
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,1,0,9832,0,163,0,,1,0,0.983691846,40.67947152,0.793894977
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,2,0,8227,0,1768,0,,1,0,0.823111556,40.67947152,0.793894977
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,3,7320,2,2671,2,0.999726851,0.732659393,0.000748223,0.845607347,0.732566283,40.67947152,0.793894977
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,0,0,9253,0,742,0,,1,0,0.925762881,40.64616409,0.787806719
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,1,0,9832,0,163,0,,1,0,0.983691846,40.64616409,0.787806719
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,2,0,8227,0,1768,0,,1,0,0.823111556,40.64616409,0.787806719
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,3,7322,0,2673,0,1,0.732566283,0,0.84564301,0.732566283,40.64616409,0.787806719
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,0,3,9245,8,739,0.004043127,0.272727273,0.999135416,0.007968127,0.925262631,40.72943266,0.780303316
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,1,0,9829,3,163,0,0,0.999694874,0,0.983391696,40.72943266,0.780303316
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,2,0,8227,0,1768,0,,1,0,0.823111556,40.72943266,0.780303316
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,3,7318,10,2663,4,0.999453701,0.733193067,0.003741115,0.845864879,0.733166583,40.72943266,0.780303316
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,0,3,9245,8,739,0.004043127,0.272727273,0.999135416,0.007968127,0.925262631,40.90152104,0.770304624
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,1,0,9829,3,163,0,0,0.999694874,0,0.983391696,40.90152104,0.770304624
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,2,11,8208,19,1757,0.006221719,0.366666667,0.997690531,0.012235818,0.822311156,40.90152104,0.770304624
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,3,7302,24,2649,20,0.997268506,0.733795598,0.008978676,0.845481387,0.732966483,40.90152104,0.770304624
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,0,1,9248,5,741,0.001347709,0.166666667,0.999459635,0.002673797,0.925362681,42.51693128,0.755841107
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,1,0,9831,1,163,0,0,0.999898291,0,0.983591796,42.51693128,0.755841107
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,2,105,8052,175,1663,0.05938914,0.375,0.978728577,0.102539063,0.816108054,42.51693128,0.755841107
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,3,7188,153,2520,134,0.981698989,0.740420272,0.057239057,0.844157369,0.734467234,42.51693128,0.755841107
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,6,0,1,9247,6,741,0.001347709,0.142857143,0.999351562,0.002670227,0.925262631,44.12679027,0.733176004
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,6,1,4,9826,6,159,0.024539877,0.4,0.999389748,0.046242775,0.983491746,44.12679027,0.733176004
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,6,2,157,8120,107,1611,0.088800905,0.59469697,0.986994044,0.154527559,0.828114057,44.12679027,0.733176004
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,6,3,7252,211,2462,70,0.990439771,0.746551369,0.078937523,0.851373562,0.746673337,44.12679027,0.733176004
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,7,0,10,9241,12,732,0.013477089,0.454545455,0.998703123,0.02617801,0.925562781,50.94926169,0.709035083
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,7,1,7,9827,5,156,0.042944785,0.583333333,0.999491456,0.08,0.983891946,50.94926169,0.709035083
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,7,2,485,7838,389,1283,0.274321267,0.554919908,0.952716665,0.367146101,0.832716358,50.94926169,0.709035083
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,7,3,7043,629,2044,279,0.961895657,0.775063277,0.235316124,0.858431349,0.767583792,50.94926169,0.709035083
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,8,0,26,9213,40,716,0.035040431,0.393939394,0.995677078,0.064356436,0.924362181,53.38625513,0.67610377
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,8,1,5,9828,4,158,0.030674847,0.555555556,0.999593165,0.058139535,0.983791896,53.38625513,0.67610377
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,8,2,567,7854,373,1201,0.320701357,0.603191489,0.95466148,0.418759232,0.842521261,53.38625513,0.67610377
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,8,3,7065,758,1915,257,0.9649003,0.78674833,0.283576506,0.866764814,0.782691346,53.38625513,0.67610377
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,9,0,77,9127,126,665,0.103773585,0.379310345,0.986382795,0.162962963,0.92086043,56.00643944,0.6396747
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,9,1,6,9821,11,157,0.036809816,0.352941176,0.998881204,0.066666667,0.983191596,56.00643944,0.6396747
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,9,2,635,7821,406,1133,0.359162896,0.609990394,0.950650298,0.452118192,0.846023012,56.00643944,0.6396747
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,9,3,6998,937,1736,324,0.955749795,0.801236547,0.350542462,0.871699053,0.793896948,56.00643944,0.6396747
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,10,0,106,9162,91,636,0.142857143,0.538071066,0.990165352,0.225772098,0.927263632,57.51637615,0.608898708
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,10,1,12,9819,13,151,0.073619632,0.48,0.998677787,0.127659574,0.983591796,57.51637615,0.608898708
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,10,2,652,7896,331,1116,0.368778281,0.663275687,0.959766622,0.474009451,0.855227614,57.51637615,0.608898708
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,10,3,7084,967,1706,238,0.96749522,0.805915813,0.361765806,0.879344588,0.805502751,57.51637615,0.608898708
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,11,0,118,9138,115,624,0.15902965,0.506437768,0.987571598,0.242051282,0.926063032,57.84945043,0.581153584
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,11,1,10,9817,15,153,0.061349693,0.4,0.998474369,0.106382979,0.983191596,57.84945043,0.581153584
15,75,128,FALSE,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,11,2,641,7974,253,1127,0.362556561,0.717002237,0.969247599,0.481592787,0.861930965,57.84945043,0.581153584
