attention_length,b_max_len,batch_size,downsample,dropout,embed_size,h_max_len,hidden_next,hidden_size,lr,max_length,model,n_classes,n_epochs,n_layers,num_samples,trainable_embeddings,vocab_size,xp,epoch,class,tp,tn,fp,fn,recall,precision,specificity,f1,accuracy,competition,train_loss
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,0.40646164094593096,0.8209220337983758
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,0.40646164094593096,0.8209220337983758
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,0.40646164094593096,0.8209220337983758
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,0,3,7322,0,2673,0,1,0.7325662831415708,0,0.8456430097591962,0.7325662831415708,0.40646164094593096,0.8209220337983758
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,0.40646164094593096,0.8014914029003221
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,0.40646164094593096,0.8014914029003221
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,0.40646164094593096,0.8014914029003221
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,1,3,7322,0,2673,0,1,0.7325662831415708,0,0.8456430097591962,0.7325662831415708,0.40646164094593096,0.8014914029003221
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,0.40646164094593096,0.8005457844424444
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,0.40646164094593096,0.8005457844424444
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,0.40646164094593096,0.8005457844424444
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,2,3,7322,0,2673,0,1,0.7325662831415708,0,0.8456430097591962,0.7325662831415708,0.40646164094593096,0.8005457844424444
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,0.40646164094593096,0.7996784157311156
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,0.40646164094593096,0.7996784157311156
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,0.40646164094593096,0.7996784157311156
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,3,3,7322,0,2673,0,1,0.7325662831415708,0,0.8456430097591962,0.7325662831415708,0.40646164094593096,0.7996784157311156
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,0.40646164094593096,0.7987386548974035
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,0.40646164094593096,0.7987386548974035
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,0.40646164094593096,0.7987386548974035
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,4,3,7322,0,2673,0,1,0.7325662831415708,0,0.8456430097591962,0.7325662831415708,0.40646164094593096,0.7987386548974035
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,0,0,9253,0,742,0,,1,0.0,0.9257628814407204,0.40646164094593096,0.7988892339247278
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,1,0,9832,0,163,0,,1,0.0,0.9836918459229614,0.40646164094593096,0.7988892339247278
15,75,128,False,0.8,50,42,0.6,100,0.001,,conditional_lstm,4,40,2,39977,Variable,1193516,final_test,5,2,0,8227,0,1768,0,,1,0.0,0.823111555777889,0.40646164094593096,0.7988892339247278
